cgpa,math,english,science,programming,communication,leadership,creativity,analytical,interest_tech,interest_business,interest_health,interest_law,interest_arts,interest_education,career
3.98,7,6,8,1,7,7,5,8,2,3,8,3,1,4,Medical Doctor
4.33,5,9,6,2,8,8,8,8,3,7,3,9,5,6,Lawyer
4.66,5,7,6,1,9,9,7,8,3,9,2,4,3,5,Business Manager
4.3,7,7,8,3,7,7,5,9,4,6,8,2,2,5,Pharmacist
4.39,8,7,10,7,5,5,5,9,8,4,3,2,1,3,Data Scientist
3.43,7,5,8,3,7,5,7,8,9,4,2,2,4,2,Mechanical Engineer
3.81,7,8,8,2,8,5,4,8,3,4,8,3,2,4,Pharmacist
3.89,8,6,8,9,4,5,7,9,8,4,2,2,1,2,Data Scientist
3.83,9,8,8,8,6,7,7,8,9,5,3,2,2,3,Software Engineer
4.72,6,6,6,3,9,8,8,7,4,9,2,3,4,4,Business Manager
3.72,5,9,5,2,8,8,5,8,2,6,2,8,6,5,Lawyer
3.97,9,6,6,5,6,5,7,8,4,9,2,4,2,2,Accountant
4.05,8,8,7,7,6,5,7,8,9,5,3,1,2,3,Data Scientist
4.05,9,7,8,7,6,4,5,9,8,5,4,1,3,3,Data Scientist
3.56,4,7,4,5,7,5,8,4,7,3,1,1,8,2,Graphic Designer
3.52,4,9,5,3,8,7,9,6,5,4,2,4,8,5,Journalist / Media
3.6,8,6,5,4,7,8,8,7,5,9,3,4,5,4,Entrepreneur
3.04,5,8,6,2,9,8,8,6,1,8,3,8,5,6,Public Administrator
4.79,8,6,9,8,6,5,8,8,8,3,2,1,1,4,Data Scientist
3.31,4,8,5,3,8,5,8,7,4,4,2,3,7,3,Journalist / Media
4.1,10,7,9,3,8,7,6,9,3,2,8,1,2,5,Medical Doctor
4.45,7,7,4,4,7,9,8,7,5,9,3,4,2,3,Business Manager
3.72,6,7,7,3,9,7,6,6,2,2,2,1,4,9,Teacher / Educator
4.27,8,7,7,3,8,9,8,7,4,9,2,4,4,5,Business Manager
4.01,8,6,7,4,6,6,7,9,9,3,2,1,4,2,Mechanical Engineer
3.35,5,8,5,4,8,8,9,7,3,4,3,3,10,5,Journalist / Media
3.15,8,6,7,5,7,9,7,7,6,8,2,5,4,4,Entrepreneur
4.9,7,7,6,1,8,9,6,7,3,8,1,3,3,5,Business Manager
4.66,9,7,8,2,5,6,3,7,2,8,1,5,2,3,Accountant
4.07,4,9,4,4,9,8,8,6,3,3,2,2,10,6,Journalist / Media
4.32,7,6,5,4,8,9,8,6,5,9,2,5,3,2,Entrepreneur
4.12,5,8,4,5,9,5,8,6,4,4,1,3,8,4,Journalist / Media
3.64,8,7,5,3,5,6,8,7,4,4,2,2,8,2,Architect
4.28,6,7,7,2,6,5,8,8,6,3,2,1,9,3,Architect
2.81,8,8,7,1,9,8,6,6,4,3,2,2,5,9,Teacher / Educator
4.16,8,8,5,3,9,8,7,7,3,2,4,1,5,8,Teacher / Educator
4.07,5,9,5,2,9,8,6,8,1,6,3,8,4,5,Lawyer
2.88,7,7,6,1,7,7,6,7,2,7,3,8,6,5,Public Administrator
4.02,7,7,7,4,7,7,9,7,5,4,2,2,8,3,Architect
3.43,6,6,7,3,7,4,9,7,5,4,2,2,7,3,Architect
3.02,6,7,4,2,7,8,5,6,1,7,2,6,4,4,Public Administrator
3.35,8,8,8,8,5,4,6,8,8,3,2,2,2,3,Software Engineer
3.34,7,7,8,8,8,5,6,8,7,3,1,1,3,1,Software Engineer
4.41,4,9,4,2,9,6,9,7,3,4,2,4,8,4,Journalist / Media
4.36,8,7,8,7,7,7,7,7,7,2,3,2,3,3,Software Engineer
4.8,7,7,8,8,6,5,5,8,8,5,1,4,1,1,Cybersecurity Analyst
3.53,8,8,5,3,8,8,6,8,3,8,3,5,4,2,Business Manager
4.1,6,6,5,4,7,5,9,8,4,3,3,1,7,4,Architect
3.48,7,7,7,2,8,7,8,9,2,2,3,1,6,9,Teacher / Educator
3.61,7,8,8,3,7,5,5,8,2,5,9,2,2,4,Pharmacist
3.78,9,7,8,9,6,6,5,8,8,5,2,4,2,2,Cybersecurity Analyst
4.71,6,6,8,2,6,6,5,8,4,5,9,2,1,4,Pharmacist
4.19,5,7,5,3,8,7,7,6,2,9,2,8,4,6,Public Administrator
4.48,7,8,5,3,8,8,8,6,3,8,2,4,4,2,Business Manager
3.76,9,6,6,2,7,8,4,8,2,9,2,4,1,3,Accountant
4.0,5,8,5,2,9,7,6,5,2,6,3,7,2,4,Public Administrator
4.75,8,6,7,4,6,6,7,8,8,5,2,1,6,2,Mechanical Engineer
4.69,5,8,5,1,8,8,6,8,2,5,1,8,5,5,Lawyer
4.07,8,6,8,2,7,5,6,8,3,2,9,3,2,4,Medical Doctor
4.06,7,6,8,4,7,4,6,9,8,4,4,1,4,2,Mechanical Engineer
3.15,9,7,6,4,7,6,5,9,3,9,2,5,3,2,Accountant
4.76,6,7,9,3,8,6,5,8,4,4,8,1,2,6,Pharmacist
2.51,6,9,7,3,8,10,7,6,4,8,2,4,4,5,Entrepreneur
4.0,7,7,8,2,8,5,5,8,2,5,8,2,4,4,Pharmacist
4.76,7,9,6,2,9,8,7,9,2,4,3,9,4,5,Lawyer
4.18,8,7,6,9,6,5,7,10,8,4,2,1,3,2,Software Engineer
3.15,6,8,5,4,7,9,8,7,7,9,1,3,4,2,Entrepreneur
4.48,6,9,6,3,7,8,8,7,4,8,2,4,7,4,Entrepreneur
4.25,8,7,5,2,5,5,9,6,6,4,2,1,9,3,Architect
4.63,8,6,8,7,8,4,7,9,7,5,3,1,2,2,Data Scientist
3.87,5,9,6,1,10,8,6,6,3,8,2,4,4,3,Business Manager
3.53,9,7,8,8,7,5,7,8,9,5,4,2,3,3,Data Scientist
4.78,8,5,7,5,6,7,6,9,8,5,3,2,4,3,Mechanical Engineer
3.24,10,7,6,2,8,5,3,8,5,9,2,5,2,3,Accountant
4.16,4,9,6,3,9,8,7,8,1,6,1,9,5,3,Lawyer
4.46,8,8,8,2,6,5,5,9,4,3,8,2,2,5,Medical Doctor
4.36,5,9,3,5,8,7,9,6,4,4,1,5,8,7,Journalist / Media
3.62,4,6,4,6,5,4,9,7,5,4,2,2,8,1,Graphic Designer
4.61,8,8,9,1,7,5,7,9,3,2,8,2,2,5,Medical Doctor
3.45,5,6,5,4,5,5,9,7,6,3,2,2,9,3,Graphic Designer
4.21,8,6,9,3,7,8,4,8,3,4,8,1,1,4,Pharmacist
4.79,10,7,6,4,6,6,7,7,3,8,1,5,2,4,Accountant
3.69,8,6,9,7,4,5,6,8,8,4,1,2,2,4,Software Engineer
3.3,5,6,4,4,5,4,9,7,5,3,2,2,9,2,Graphic Designer
3.91,8,7,8,9,6,6,5,10,7,3,1,5,2,3,Cybersecurity Analyst
3.12,7,5,7,4,7,6,10,8,6,4,3,2,7,4,Architect
3.87,7,8,4,3,8,6,8,5,3,5,3,4,9,6,Journalist / Media
4.52,6,9,5,1,8,9,7,7,5,8,1,3,4,4,Business Manager
3.97,4,8,4,2,9,9,9,7,2,5,2,8,4,6,Lawyer
3.3,9,7,8,6,6,7,6,8,8,3,2,2,6,3,Mechanical Engineer
4.83,8,7,8,2,7,8,4,7,3,2,8,1,3,4,Medical Doctor
3.45,6,8,4,1,8,8,5,8,1,6,2,7,4,6,Public Administrator
3.74,6,8,7,3,8,8,9,8,2,5,2,9,3,4,Lawyer
3.57,6,7,7,2,8,7,8,6,2,3,3,2,5,10,Teacher / Educator
3.58,6,9,5,2,7,8,6,6,3,6,4,8,2,5,Public Administrator
4.86,9,7,8,4,4,6,6,7,8,3,2,2,5,2,Mechanical Engineer
3.36,8,6,7,7,6,5,6,8,10,3,4,2,2,3,Data Scientist
3.85,7,6,6,4,6,5,9,7,5,5,4,1,8,3,Architect
3.36,8,8,7,7,4,4,6,9,8,4,3,6,2,2,Cybersecurity Analyst
3.53,8,6,8,4,7,6,7,8,9,5,2,1,3,1,Mechanical Engineer
2.96,5,8,5,3,8,7,8,5,4,3,3,5,8,5,Journalist / Media
3.48,7,8,4,3,9,7,7,8,1,4,3,9,5,4,Lawyer
3.41,6,7,6,2,9,6,8,8,4,3,3,1,5,8,Teacher / Educator
4.4,9,6,8,3,4,5,7,7,7,4,2,1,5,1,Mechanical Engineer
4.45,5,8,4,3,9,6,9,6,4,5,3,3,9,5,Journalist / Media
4.59,8,7,8,2,9,7,4,9,3,3,9,2,3,4,Medical Doctor
3.74,6,8,4,3,10,8,4,5,3,6,3,6,3,5,Public Administrator
3.88,7,7,9,2,8,5,5,7,2,5,9,2,2,4,Pharmacist
3.48,9,5,7,2,7,6,4,8,4,9,2,5,2,3,Accountant
3.55,5,8,7,1,8,9,7,8,2,9,2,4,4,5,Business Manager
4.36,7,7,7,3,7,7,8,8,5,5,2,2,9,3,Architect
3.72,7,7,8,9,8,4,5,8,7,4,3,5,2,3,Cybersecurity Analyst
2.59,6,7,4,5,5,4,8,6,5,4,2,1,8,2,Graphic Designer
3.18,7,8,7,3,7,8,9,8,6,9,2,5,3,2,Business Manager
4.48,6,8,3,4,8,7,5,8,4,7,4,8,2,7,Public Administrator
4.35,8,8,6,4,8,9,8,6,4,9,1,7,2,2,Business Manager
3.92,10,6,7,9,7,5,6,8,7,3,1,1,2,3,Software Engineer
4.08,7,7,7,7,8,8,8,7,3,9,2,6,6,4,Entrepreneur
3.87,8,6,5,5,7,8,7,7,3,8,1,6,5,4,Entrepreneur
3.9,9,8,6,3,7,7,3,8,4,9,2,5,3,2,Accountant
4.56,10,7,8,7,5,3,6,8,8,3,2,1,2,3,Data Scientist
4.32,7,6,6,8,5,6,7,9,9,3,1,2,1,4,Software Engineer
3.7,8,7,8,9,6,3,6,9,9,6,4,1,2,4,Data Scientist
2.76,5,9,5,5,9,5,9,7,3,4,1,4,7,4,Journalist / Media
3.22,7,7,7,8,6,6,6,8,7,4,2,2,5,1,Software Engineer
3.49,8,9,5,2,9,6,7,7,3,2,2,2,6,8,Teacher / Educator
4.28,5,9,6,3,8,6,8,5,4,3,2,2,7,4,Journalist / Media
3.76,8,8,5,3,8,5,8,7,4,2,3,1,8,4,Architect
2.9,4,7,5,5,6,4,9,5,6,3,2,1,8,3,Graphic Designer
3.55,6,9,5,2,8,8,4,7,2,6,3,6,3,5,Public Administrator
4.24,5,7,5,3,6,6,8,5,7,3,1,2,8,2,Graphic Designer
3.83,6,8,9,2,7,5,5,8,2,3,9,2,2,4,Medical Doctor
3.38,4,6,5,4,7,4,8,6,6,4,1,1,8,1,Graphic Designer
4.82,8,7,8,2,6,7,4,9,3,3,8,2,3,3,Medical Doctor
4.74,4,8,4,1,9,8,7,8,1,5,2,8,4,5,Lawyer
4.88,8,5,6,3,7,7,8,8,5,5,3,1,8,3,Architect
3.79,7,8,8,1,6,6,5,9,3,5,9,2,3,5,Pharmacist
4.04,7,6,5,3,9,8,8,8,4,9,2,5,5,4,Entrepreneur
2.94,7,6,5,2,9,8,7,7,4,8,3,5,4,3,Entrepreneur
4.38,6,7,7,2,9,8,5,6,3,7,4,8,4,5,Public Administrator
4.09,8,7,9,2,7,5,5,8,2,5,9,3,1,5,Pharmacist
4.61,7,7,8,2,8,4,4,8,2,4,8,1,1,5,Pharmacist
3.8,7,7,8,8,5,6,7,7,8,4,3,1,4,3,Software Engineer
3.42,5,9,4,2,9,9,5,6,3,5,4,8,2,6,Public Administrator
3.17,8,5,7,4,5,7,6,8,3,9,1,6,3,2,Accountant
4.72,7,7,5,5,8,8,8,7,6,9,2,4,5,3,Entrepreneur
3.05,8,9,6,3,9,7,6,6,4,2,4,3,5,9,Teacher / Educator
4.03,8,6,8,4,6,6,7,9,8,4,1,1,3,2,Mechanical Engineer
3.22,6,5,8,6,4,6,7,8,7,5,1,3,3,2,Cybersecurity Analyst
4.05,7,7,8,1,8,6,5,8,4,4,8,2,1,4,Pharmacist
3.34,6,7,7,4,9,8,10,7,7,8,1,5,5,2,Entrepreneur
4.46,7,6,9,2,9,8,5,8,3,2,9,2,1,4,Medical Doctor
3.83,7,7,8,2,8,6,5,8,3,3,8,3,2,4,Medical Doctor
3.74,8,8,9,1,7,6,4,9,3,6,8,1,2,5,Pharmacist
4.63,7,7,8,1,9,6,6,8,2,3,8,2,1,6,Medical Doctor
4.62,8,7,8,9,7,5,7,8,7,5,4,2,3,3,Data Scientist
3.64,6,6,6,3,8,8,9,7,3,8,2,4,3,5,Entrepreneur
4.93,6,8,5,2,8,8,8,7,4,9,3,3,4,4,Business Manager
